society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score
vatika gurgaon,flat,sector 83,0.87,6987.0,2,2,2,3.0,Moderately Old,1099.42661017,0,0,0,0,0,0,35
shree balaji appartment,flat,sector 33,0.4,5000.0,2,2,2,1.0,Relatively New,700.77343137,0,0,0,0,0,2,0
ireo victory valley,flat,sector 67,3.49,13000.0,3,3,3,19.0,Relatively New,2641.8384420700004,0,1,0,0,0,0,103
la vida by tata housing,flat,sector 113,1.93,12222.0,3,3,2,8.0,Under Construction,1398.64045673,0,0,0,0,0,0,71
signature global the millennia,flat,sector 37d,0.65,10906.0,2,2,3,0.0,New Property,674.5924668800001,0,0,0,0,0,0,40
aipl joy square,flat,sector 63a,0.7,10101.0,1,1,0,7.0,Under Construction,693.0,0,0,0,0,0,0,0
pareena coban residences,flat,sector 99a,1.6,8000.0,3,3,3,6.0,Under Construction,1775.79323937,0,0,0,0,0,0,0
m3m sierra 68,flat,sector 68,1.08,8674.0,2,2,3,1.0,Relatively New,1130.0,0,0,0,0,0,1,149
hsiidc sidco aravali,flat,manesar,0.9,3477.0,3,3,3+,8.0,Moderately Old,1900.0,0,1,0,0,0,0,23
shapoorji pallonji joyville gurugram,flat,sector 102,1.9,10259.0,3,3,3+,15.0,New Property,1700.0,0,0,0,0,0,0,174
tata primanti,flat,sector 72,3.5,11428.0,4,5,3+,16.0,Relatively New,2625.0,0,1,0,0,1,0,31
godrej nature plus,flat,sector 33 road,1.5,9677.0,3,3,3,6.0,Under Construction,1372.6608113700001,1,0,0,0,0,0,72
ansals palam vihar,house,sector 2,5.0,12500.0,6,4,0,3.0,Moderately Old,4000.0,0,0,0,0,0,0,0
vatika lifestyle homes,flat,sector 83,1.05,7500.0,3,2,2,1.0,Moderately Old,1600.0,0,0,0,0,0,1,106
smart world gems,flat,sector 89,1.71,12000.0,3,2,0,3.0,New Property,1423.0,0,0,0,0,0,0,45
breez global heights,flat,sohna road road,0.39,4105.0,2,2,2,3.0,Relatively New,720.0,0,0,0,0,0,0,0
guru gram haryana cghs,flat,sector 56,1.39,8424.0,3,2,3,6.0,Old Property,1750.0,0,1,0,0,0,1,89
alpha corp gurgaonone,flat,sector 84,0.85,6692.0,2,2,3,6.0,Relatively New,1179.6788850900002,0,0,0,0,0,1,28
vatika the seven lamps,flat,sector 82,1.0,6969.0,2,2,2,14.0,Relatively New,1269.63807977,1,0,0,0,1,0,69
